#sigma	lambda	success
#err	sigma	lambda	
1	0.003	3.111111111111111
1	0.01	16.0
1	0.03	30.833333333333336
1	0.1	43.06049822064057
1	0.3	53.58649789029536
1	1	59.91379310344828
1.3	0.001	0.4329004329004329
1.3	0.003	7.6923076923076925
1.3	0.01	24.0
1.3	0.03	27.67857142857143
1.3	0.1	47.88135593220339
1.3	0.3	56.734693877551024
1.3	1	55.12820512820513
1.7	0.001	0.4149377593360996
1.7	0.003	8.0
1.7	0.01	28.07017543859649
1.7	0.03	34.883720930232556
1.7	0.1	52.83018867924528
1.7	0.3	57.20930232558139
1.7	1	60.50420168067227
2.1	0.001	1.293103448275862
2.1	0.003	13.934426229508196
2.1	0.01	26.160337552742618
2.1	0.03	39.75409836065574
2.1	0.1	54.58515283842795
2.1	0.3	58.55513307984791
2.1	1	62.17391304347826
2.3	0.001	1.8018018018018018
2.3	0.003	10.16260162601626
2.3	0.01	35.04273504273504
2.3	0.03	45.45454545454545
2.3	0.1	52.01793721973094
2.3	0.3	51.10132158590308
2.3	1	64.19753086419753
2.5	0.001	1.3953488372093024
2.5	0.003	10.300429184549357
2.5	0.01	31.17408906882591
2.5	0.03	46.89922480620155
2.5	0.1	51.6260162601626
2.5	0.3	63.17829457364341
2.5	1	63.74999999999999
